EnrollMent,Name,Gender,Contact Number,City,OS,DMATHS,OOPJ,PEM,COA
180280112549,nidhi,f,490-010-3470,Amreli,60,35,33,18,21
180280111164,madan lal,m,156-406-9193,Rajkot,44,24,59,52,50
180280114857,sishpal,m,813-001-5955,Bhavnagar,67,52,32,18,17
180280114874,sunita,f,360-277-4483,Bhuj,23,53,56,69,42
180280112282,ram niwas,m,879-443-4809,Bhavnagar,64,51,40,58,19
180280114806,rakesh tyagi,m,800-280-0109,Vadodara,20,68,55,23,66
180280114009,nisha,f,654-124-8250,Amreli,70,69,46,30,41
180280112807,sudhama,f,540-451-6433,Amreli,21,36,50,52,56
180280114085,sonam ranjana,f,468-604-4567,Rajkot,36,36,64,32,50
180280110132,seema,f,954-474-1634,Bhavnagar,67,60,64,70,64
180280114101,raj bahadur,m,663-851-6661,Bhavnagar,46,57,51,18,17
180280114204,santara,f,336-086-4178,Bhavnagar,40,38,55,16,67
180280113894,urmila,f,688-709-4219,Vadodara,39,70,21,43,23
180280114323,basanta,m,448-888-6630,Surat,51,66,56,36,49
180280111999,laxmi,f,264-103-0426,Bhavnagar,49,29,49,23,24
180280111831,preeti,f,452-466-8427,Ahmedabad,20,38,29,36,36
180280113600,meti kumari,f,973-794-4699,Rajkot,35,66,58,28,34
180280113323,kumari sunita,f,664-749-8272,Bhuj,45,20,57,27,50
180280112805,rabin,f,776-461-6620,Gandhinagar,58,24,46,59,18
180280110655,raju,m,275-195-3223,Gandhinagar,37,43,36,63,52
180280114195,jyoti,f,646-373-1112,Surat,60,64,17,15,65
180280111005,kavita,f,733-807-1486,Bhavnagar,28,36,21,69,63
180280114287,anjum,f,933-440-4638,Ahmedabad,31,24,33,59,44
180280112046,kamlesh urf jula,m,954-423-6185,Bhavnagar,60,59,54,20,45
180280113696,raja kumar,m,380-502-9700,Bhavnagar,46,51,23,24,46
180280111994,ram naresh,m,262-452-9104,Bhuj,30,59,43,56,67
180280113974,radha,f,860-282-8713,Surat,61,31,19,35,67
180280110603,sapna,m,280-741-8703,Ahmedabad,52,55,60,25,56
180280114248,atul golu,m,128-422-3126,Gandhinagar,64,34,33,59,45
180280110734,manpreet kaur preet,f,307-176-4385,Vadodara,22,70,41,59,24
180280112391,sanjeev,m,198-121-2955,Ahmedabad,35,49,62,18,54
180280112862,sabina,f,949-646-7094,Vadodara,50,22,47,40,65
180280114456,vijay pal,m,368-277-3392,Gandhinagar,52,53,38,28,54
180280110262,meena,f,137-739-7165,Bhuj,70,68,69,64,62
180280113874,surendr,m,824-001-2231,Bhuj,19,54,60,55,52
180280110209,ranu tiwari,f,610-202-4604,Gandhinagar,70,60,61,66,70
180280114278,ashok yadav,m,913-487-7974,Ahmedabad,52,38,40,51,68
180280113428,govind akash,m,559-468-4050,Amreli,16,39,37,57,27
180280114119,bhawana,f,241-060-3062,Rajkot,44,66,37,65,59
180280113242,simran dhawan,f,756-728-0095,Bhavnagar,54,63,52,22,19
180280114307,raju jha,m,207-530-4457,Amreli,48,30,66,58,66
180280113024,sujit,m,846-332-1602,Bhuj,58,42,32,68,65
180280111687,alema,f,470-561-9271,Vadodara,68,30,68,51,35
180280112129,sabir hussain,m,129-078-7734,Amreli,15,34,28,22,21
180280113617,ravi shankar,m,764-159-8527,Surat,31,19,67,17,37
180280113640,shilpa,f,632-137-0474,Vadodara,67,56,41,49,25
180280112833,gordhan das,m,710-341-1582,Gandhinagar,37,64,66,63,48
180280112535,kiran,f,347-458-2424,Ahmedabad,16,46,15,52,28
180280112288,sardar kawaljeet singh,m,205-126-7296,Bhuj,24,55,51,70,70
180280112274,rizwan,m,921-448-1804,Bhuj,66,24,57,44,61
180280113910,chanchal,f,597-777-9361,Ahmedabad,41,46,45,58,16
180280111834,arti,f,930-844-7701,Amreli,17,42,33,28,46
180280114793,ghasiram koli,m,540-517-8748,Bhuj,63,50,43,41,23
